a,b,minimum,product,lukasiewicz,nilpotent_minimum,hamacher_product,quantum
0.45000,0.05000,0.45000,0.47750,0.50000,0.45000,0.46547,0.42800

0.45000,0.10000,0.45000,0.50500,0.55000,0.45000,0.48168,0.43680

0.45000,0.15000,0.45000,0.53250,0.60000,0.45000,0.49866,0.45600

0.45000,0.20000,0.45000,0.56000,0.65000,0.45000,0.51648,0.48080

0.45000,0.25000,0.45000,0.58750,0.70000,0.45000,0.53521,0.50550

0.45000,0.30000,0.45000,0.61500,0.75000,0.45000,0.55491,0.54340

0.45000,0.35000,0.45000,0.64250,0.80000,0.45000,0.57567,0.58280

0.45000,0.40000,0.45000,0.67000,0.85000,0.45000,0.59756,0.61760

0.45000,0.45000,0.45000,0.69750,0.90000,0.45000,0.62069,0.67430

0.45000,0.50000,0.50000,0.72500,0.95000,0.50000,0.64516,0.71420

0.45000,0.55000,0.55000,0.75250,1.00000,1.00000,0.67110,0.75570

0.45000,0.60000,0.60000,0.78000,1.00000,1.00000,0.69863,0.79680

0.45000,0.65000,0.65000,0.80750,1.00000,1.00000,0.72792,0.84210

0.45000,0.70000,0.70000,0.83500,1.00000,1.00000,0.75912,0.88030

0.45000,0.75000,0.75000,0.86250,1.00000,1.00000,0.79245,0.91370

0.45000,0.80000,0.80000,0.89000,1.00000,1.00000,0.82812,0.94610

0.45000,0.85000,0.85000,0.91750,1.00000,1.00000,0.86640,0.96980

0.45000,0.90000,0.90000,0.94500,1.00000,1.00000,0.90756,0.98670

0.45000,0.95000,0.95000,0.97250,1.00000,1.00000,0.95197,0.99540

0.45000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

0.50000,0.00000,0.50000,0.50000,0.50000,0.50000,0.50000,0.49960

0.50000,0.05000,0.50000,0.52500,0.55000,0.50000,0.51282,0.50360

0.50000,0.10000,0.50000,0.55000,0.60000,0.50000,0.52632,0.53010

0.50000,0.15000,0.50000,0.57500,0.65000,0.50000,0.54054,0.52690

0.50000,0.20000,0.50000,0.60000,0.70000,0.50000,0.55556,0.54790

0.50000,0.25000,0.50000,0.62500,0.75000,0.50000,0.57143,0.57490

0.50000,0.30000,0.50000,0.65000,0.80000,0.50000,0.58824,0.60130

0.50000,0.35000,0.50000,0.67500,0.85000,0.50000,0.60606,0.64410

0.50000,0.40000,0.50000,0.70000,0.90000,0.50000,0.62500,0.67420

0.50000,0.45000,0.50000,0.72500,0.95000,0.50000,0.64516,0.70870

0.50000,0.50000,0.50000,0.75000,1.00000,1.00000,0.66667,0.74740

0.50000,0.55000,0.55000,0.77500,1.00000,1.00000,0.68966,0.78830

0.50000,0.60000,0.60000,0.80000,1.00000,1.00000,0.71429,0.82870

0.50000,0.65000,0.65000,0.82500,1.00000,1.00000,0.74074,0.86300

0.50000,0.70000,0.70000,0.85000,1.00000,1.00000,0.76923,0.90390

0.50000,0.75000,0.75000,0.87500,1.00000,1.00000,0.80000,0.92620

0.50000,0.80000,0.80000,0.90000,1.00000,1.00000,0.83333,0.95190

0.50000,0.85000,0.85000,0.92500,1.00000,1.00000,0.86957,0.96890

0.50000,0.90000,0.90000,0.95000,1.00000,1.00000,0.90909,0.98760

0.50000,0.95000,0.95000,0.97500,1.00000,1.00000,0.95238,0.99740

0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

0.55000,0.00000,0.55000,0.55000,0.55000,0.55000,0.55000,0.58140

0.55000,0.05000,0.55000,0.57250,0.60000,0.55000,0.56041,0.58030

0.55000,0.10000,0.55000,0.59500,0.65000,0.55000,0.57143,0.59480

0.55000,0.15000,0.55000,0.61750,0.70000,0.55000,0.58311,0.60640

0.55000,0.20000,0.55000,0.64000,0.75000,0.55000,0.59551,0.62100

0.55000,0.25000,0.55000,0.66250,0.80000,0.55000,0.60870,0.64320

0.55000,0.30000,0.55000,0.68500,0.85000,0.55000,0.62275,0.65790

0.55000,0.35000,0.55000,0.70750,0.90000,0.55000,0.63777,0.69330

0.55000,0.40000,0.55000,0.73000,0.95000,0.55000,0.65385,0.73160

0.55000,0.45000,0.55000,0.75250,1.00000,1.00000,0.67110,0.74630

0.55000,0.50000,0.55000,0.77500,1.00000,1.00000,0.68966,0.78540

0.55000,0.55000,0.55000,0.79750,1.00000,1.00000,0.70968,0.81560

0.55000,0.60000,0.60000,0.82000,1.00000,1.00000,0.73134,0.85280

0.55000,0.65000,0.65000,0.84250,1.00000,1.00000,0.75486,0.88840

0.55000,0.70000,0.70000,0.86500,1.00000,1.00000,0.78049,0.91400

0.55000,0.75000,0.75000,0.88750,1.00000,1.00000,0.80851,0.93530

0.55000,0.80000,0.80000,0.91000,1.00000,1.00000,0.83929,0.96090

0.55000,0.85000,0.85000,0.93250,1.00000,1.00000,0.87324,0.97510

0.55000,0.90000,0.90000,0.95500,1.00000,1.00000,0.91089,0.98830

0.55000,0.95000,0.95000,0.97750,1.00000,1.00000,0.95288,0.99740

0.55000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

